           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,,Base Flow Index (BFI): 0.241
30,0.09,0.01,0.08,,,
1,0.06,0,0.06,,,
2,0.1,0.03,0.06,,,
3,0.15,0.09,0.06,,,
4,0.16,0.1,0.06,,,
5,0.12,0.06,0.06,,,
6,0.11,0.05,0.06,,,
7,0.1,0.04,0.06,,,
8,0.15,0.09,0.06,,,
9,0.09,0.03,0.06,,,
10,0.1,0.04,0.06,,,
11,0.06,0,0.05,,,
12,0.06,0,0.05,,,
13,0.07,0.01,0.05,,,
14,0.07,0.01,0.05,,,
15,0.04,0,0.04,,,
16,0.07,0.03,0.04,,,
17,0.06,0.02,0.04,,,
18,0.05,0.01,0.04,,,
19,0.05,0.01,0.04,,,
20,0.05,0.01,0.04,,,
21,0.05,0.01,0.04,,,
22,0.05,0.01,0.04,,,
23,0.05,0.01,0.04,,,
24,0.04,0.01,0.04,,,
25,0.04,0.01,0.04,,,
26,0.04,0.01,0.03,,,
27,0.04,0.01,0.03,,,
28,0.04,0.01,0.03,,,
29,0.04,0.01,0.03,,,
30,0.05,0.02,0.03,,,
31,0.06,0.03,0.03,,,
1,0.06,0.03,0.03,,,
2,0.07,0.04,0.03,,,
3,0.07,0.04,0.03,,,
4,0.05,0.02,0.03,,,
5,0.05,0.02,0.03,,,
6,0.05,0.02,0.03,,,
7,0.11,0.08,0.03,,,
8,0.11,0.08,0.03,,,
9,0.06,0.03,0.03,,,
10,0.08,0.05,0.03,,,
11,1,0.96,0.04,,,
12,13.25,13.1,0.15,,,
13,7.5,7.29,0.21,,,
14,32.27,31.78,0.49,,,
15,19.2,18.56,0.64,,,
16,13.47,12.73,0.74,,,
17,6.16,5.38,0.77,,,
18,5.8,5,0.8,,,
19,4.24,3.42,0.81,,,
20,5.07,4.23,0.84,,,
21,2.9,2.07,0.84,,,
22,8.55,7.66,0.89,,,
23,57.71,56.35,1.36,,,
24,23.83,22.3,1.53,,,
25,27,25.28,1.72,,,
26,21.12,19.26,1.86,,,
27,10.3,8.41,1.89,,,
28,14.6,12.63,1.97,,,
29,71.42,68.89,2.53,,,
30,21.3,18.65,2.65,,,
1,68.67,65.5,3.17,,,
2,125,120.83,4.17,,,
3,133,127.8,5.2,,,
4,98.12,92.21,5.91,,,
5,75.25,68.85,6.4,,,
6,78.98,72.08,6.9,,,
7,195.1,186.7,8.4,,,
8,72.65,63.86,8.79,,,
9,60,50.94,9.06,,,
10,65.45,56.08,9.37,,,
11,39.28,29.83,9.45,,,
12,10.44,1.17,9.27,,,
13,13.36,4.24,9.12,,,
14,11,2.04,8.96,,,
15,15.46,6.62,8.84,,,
16,10,1.33,8.67,,,
17,29.64,20.96,8.68,,,
18,18.7,10.1,8.6,,,
19,11.39,2.94,8.45,,,
20,9.69,1.4,8.29,,,
21,28.3,20,8.3,,,
22,100.7,91.76,8.94,,,
23,61,51.78,9.22,,,
24,23.08,13.92,9.16,,,
25,15.21,6.18,9.03,,,
26,11.82,2.95,8.87,,,
27,22.84,14.02,8.82,,,
28,17.49,8.77,8.72,,,
29,14.73,6.13,8.6,,,
30,12,3.54,8.46,,,
31,11.39,3.07,8.32,,,
1,11.31,3.13,8.18,,,
2,9.11,1.09,8.02,,,
3,7.88,0.01,7.86,,,
4,7.64,0,7.64,,,
5,78.91,70.8,8.11,,,
6,65,56.55,8.45,,,
7,191,181.13,9.87,,,
8,78.35,68.08,10.27,,,
9,168.4,156.96,11.44,,,
10,117.6,105.46,12.14,,,
11,144.9,131.85,13.05,,,
12,434.6,418.14,16.46,,,
13,450,430.09,19.91,,,
14,443.4,420.2,23.2,,,
15,275,250.07,24.93,,,
16,130,104.65,25.35,,,
17,211.7,185.23,26.47,,,
18,145,118.03,26.97,,,
19,176.7,148.96,27.74,,,
20,176.9,148.41,28.49,,,
21,110,81.37,28.63,,,
22,67.23,38.83,28.4,,,
23,59.73,31.62,28.11,,,
24,385.4,354.74,30.66,,,
25,905.4,867.74,37.66,,,
26,258.3,219.46,38.84,,,
27,140,101.05,38.95,,,
28,279.7,239.43,40.27,,,
29,118.7,78.55,40.15,,,
30,84.61,44.87,39.74,,,
31,143.1,103.24,39.86,,,
1,240.5,199.69,40.81,,,
2,165,123.92,41.08,,,
3,157,115.72,41.28,,,
4,94.26,53.34,40.92,,,
5,83.61,43.13,40.48,,,
6,53.55,13.76,39.79,,,
7,44.35,5.31,39.04,,,
8,38.68,0.42,38.26,,,
9,33.94,0,33.94,,,
10,30,0,30,,,
11,139.9,109.54,30.36,,,
12,1085,1046.06,38.94,,,
13,345.5,304.67,40.83,,,
14,217.2,175.64,41.56,,,
15,178.6,136.68,41.92,,,
16,150.5,108.46,42.04,,,
17,100,58.29,41.71,,,
18,76.62,35.43,41.19,,,
19,64.72,24.15,40.57,,,
20,105.2,64.87,40.33,,,
21,73.5,33.68,39.82,,,
22,61.84,22.62,39.22,,,
23,55.95,17.36,38.59,,,
24,42,4.14,37.86,,,
25,51.49,14.27,37.22,,,
26,54.09,17.46,36.63,,,
27,90.94,54.56,36.38,,,
28,70.39,34.44,35.95,,,
29,47.55,12.21,35.34,,,
30,33.28,0,33.28,,,
1,30,0,30,,,
2,29,0,29,,,
3,31.84,3.39,28.45,,,
4,28.7,0.81,27.89,,,
5,22.99,0,22.99,,,
6,20.32,0,20.32,,,
7,18.41,0,18.41,,,
8,17.2,0,17.2,,,
9,16.5,0,16.5,,,
10,15.8,0,15.8,,,
11,15.05,0,15.05,,,
12,14.39,0,14.39,,,
13,13.01,0,13.01,,,
14,12.51,0,12.51,,,
15,12,0,12,,,
16,11.93,0.17,11.76,,,
17,10.72,0,10.72,,,
18,10.04,0,10.04,,,
19,9.71,0,9.71,,,
20,9.68,0.16,9.51,,,
21,9.6,0.28,9.33,,,
22,9.3,0.16,9.14,,,
23,9.14,0.18,8.96,,,
24,8.28,0,8.28,,,
25,8.04,0,8.04,,,
26,7.62,0,7.62,,,
27,7.88,0.41,7.47,,,
28,7.18,0,7.18,,,
29,7.55,0.5,7.05,,,
30,7.42,0.51,6.91,,,
31,6.79,0.02,6.77,,,
1,6.55,0,6.55,,,
2,6.69,0.26,6.43,,,
3,6.41,0.11,6.3,,,
4,6.57,0.4,6.18,,,
5,6,0,6,,,
6,6.52,0.64,5.89,,,
7,5.72,0,5.72,,,
8,5.58,0,5.58,,,
9,5.75,0.27,5.47,,,
10,5.09,0,5.09,,,
11,5.06,0.08,4.99,,,
12,5.06,0.17,4.89,,,
13,4.65,0,4.65,,,
14,4.84,0.28,4.56,,,
15,4.65,0.18,4.47,,,
16,4.7,0.31,4.38,,,
17,4.55,0.25,4.3,,,
18,4.28,0.07,4.21,,,
19,4.32,0.19,4.13,,,
20,4.13,0.08,4.05,,,
21,4.01,0.04,3.97,,,
22,4.16,0.27,3.89,,,
23,4.01,0.2,3.81,,,
24,4,0.26,3.74,,,
25,3.93,0.26,3.67,,,
26,3.93,0.33,3.6,,,
27,3.71,0.19,3.53,,,
28,3.69,0.23,3.46,,,
29,3.64,0.25,3.39,,,
30,3.57,0.24,3.33,,,
1,3.52,0.26,3.26,,,
2,3.5,0.31,3.2,,,
3,3.5,0.37,3.14,,,
4,3.4,0.32,3.08,,,
5,3.55,0.53,3.02,,,
6,3.43,0.47,2.97,,,
7,3.52,0.61,2.91,,,
8,3.14,0.28,2.86,,,
9,2.87,0.07,2.8,,,
10,3,0.25,2.75,,,
11,2.93,0.24,2.69,,,
12,2.84,0.2,2.64,,,
13,2.9,0.31,2.59,,,
14,2.85,0.31,2.54,,,
15,2.76,0.27,2.49,,,
16,2.94,0.49,2.45,,,
17,2.8,0.4,2.4,,,
18,2.67,0.31,2.36,,,
19,2.71,0.39,2.31,,,
20,2.52,0.25,2.27,,,
21,2.76,0.54,2.23,,,
22,2.5,0.32,2.19,,,
23,2.72,0.57,2.15,,,
24,3.1,0.99,2.11,,,
25,3.5,1.42,2.08,,,
26,5.88,3.8,2.08,,,
27,5.36,3.3,2.06,,,
28,7.8,5.73,2.07,,,
29,6.69,4.62,2.07,,,
30,5.8,3.74,2.06,,,
31,5,2.95,2.05,,,
1,4.08,2.05,2.02,,,
2,3.92,1.92,2,,,
3,3.46,1.49,1.97,,,
4,3.29,1.35,1.95,,,
5,3.28,1.36,1.92,,,
6,3.15,1.26,1.89,,,
7,3.1,1.24,1.86,,,
8,3.01,1.17,1.84,,,
9,2.63,0.83,1.81,,,
10,2.67,0.89,1.78,,,
11,2.59,0.84,1.75,,,
12,2.73,1,1.73,,,
13,2.37,0.67,1.7,,,
14,2.37,0.7,1.67,,,
15,2.15,0.52,1.64,,,
16,2.02,0.41,1.61,,,
17,2.06,0.47,1.58,,,
18,2.03,0.47,1.56,,,
19,1.89,0.36,1.53,,,
20,2,0.5,1.5,,,
21,1.82,0.35,1.47,,,
22,1.6,0.16,1.45,,,
23,1.73,0.31,1.42,,,
24,1.71,0.32,1.39,,,
25,1.69,0.32,1.37,,,
26,1.69,0.35,1.34,,,
27,1.6,0.28,1.32,,,
28,1.61,0.31,1.3,,,
29,1.5,0.23,1.27,,,
30,1.5,0.25,1.25,,,
31,1.59,0.36,1.23,,,
1,1.32,0.12,1.2,,,
2,1.15,0,1.15,,,
3,1.35,0.22,1.13,,,
4,1.35,0.24,1.11,,,
5,1.22,0.14,1.09,,,
6,1.18,0.11,1.07,,,
7,1.17,0.12,1.05,,,
8,1.1,0.07,1.03,,,
9,1.2,0.19,1.01,,,
10,1.09,0.11,0.99,,,
11,1.29,0.32,0.97,,,
12,1.3,0.35,0.95,,,
13,0.94,0,0.94,,,
14,2.03,1.11,0.93,,,
15,2.95,2.02,0.93,,,
16,3.06,2.13,0.93,,,
17,2.87,1.94,0.92,,,
18,4.96,4.02,0.94,,,
19,4.96,4,0.96,,,
20,3.85,2.89,0.96,,,
21,2.4,1.44,0.96,,,
22,2.7,1.75,0.95,,,
23,2.6,1.65,0.95,,,
24,2.2,1.26,0.94,,,
25,1.5,0.57,0.93,,,
26,1.88,0.97,0.92,,,
27,1.45,0.55,0.9,,,
28,1.5,0.61,0.89,,,
1,1.52,0.65,0.88,,,
2,1.4,0.53,0.87,,,
3,1.3,0.45,0.85,,,
4,1.15,0.31,0.84,,,
5,1.06,0.23,0.82,,,
6,0.89,0.08,0.81,,,
7,1.05,0.26,0.79,,,
8,0.91,0.13,0.78,,,
9,0.86,0.1,0.76,,,
10,0.89,0.14,0.75,,,
11,0.86,0.12,0.74,,,
12,0.89,0.17,0.72,,,
13,0.89,0.18,0.71,,,
14,0.84,0.14,0.7,,,
15,0.97,0.29,0.69,,,
16,0.62,0,0.62,,,
17,0.3,0,0.3,,,
18,0.21,0,0.21,,,
19,0.31,0.1,0.21,,,
20,0.57,0.36,0.21,,,
21,0.58,0.37,0.2,,,
22,0.36,0.16,0.2,,,
23,0.3,0.1,0.2,,,
24,0.3,0.1,0.2,,,
25,0.21,0.02,0.19,,,
26,0.36,0.17,0.19,,,
27,0.3,0.11,0.19,,,
28,0.3,0.12,0.18,,,
29,0.2,0.01,0.18,,,
30,0.2,0.03,0.18,,,
31,0.15,0,0.15,,,
1,0.2,0.05,0.15,,,
2,0.28,0.13,0.15,,,
3,0.2,0.06,0.14,,,
4,0.2,0.06,0.14,,,
5,0.18,0.04,0.14,,,
6,0.18,0.04,0.14,,,
7,0.15,0.02,0.13,,,
8,0.15,0.02,0.13,,,
9,0.13,0,0.13,,,
10,0.13,0,0.13,,,
11,0.11,0,0.11,,,
12,0.11,0,0.11,,,
13,0.11,0,0.11,,,
14,0.1,0,0.1,,,
15,0.11,0.01,0.1,,,
16,0.13,0.03,0.1,,,
17,0.11,0.02,0.09,,,
18,0.1,0.01,0.09,,,
19,0.09,0,0.09,,,
20,0.09,0,0.08,,,
21,0.09,0.01,0.08,,,
22,0.06,0,0.06,,,
23,0.06,0.01,0.06,,,
24,0.05,0,0.05,,,
25,0.05,0,0.05,,,
26,0.05,0,0.05,,,
27,0.04,0,0.04,,,
28,0.04,0,0.04,,,
29,0.03,0,0.03,,,
30,0.04,0.01,0.03,,,
1,0.03,0.01,0.03,,,
2,0.03,0.01,0.03,,,
3,0.07,0.04,0.03,,,
4,0.07,0.04,0.03,,,
5,0.05,0.02,0.03,,,
6,0.05,0.02,0.03,,,
7,0.04,0.01,0.03,,,
8,0.04,0.01,0.03,,,
9,0.05,0.02,0.03,,,
10,0.07,0.04,0.03,,,
11,0.07,0.04,0.03,,,
12,0.04,0.01,0.03,,,
13,1.52,1.48,0.04,,,
14,0.37,0.33,0.04,,,
15,0.89,0.84,0.05,,,
16,1.45,1.39,0.06,,,
17,16.5,16.3,0.2,,,
18,9.3,9.02,0.28,,,
19,9.65,9.3,0.35,,,
20,5.05,4.66,0.39,,,
21,1.45,1.06,0.39,,,
22,2.69,2.3,0.4,,,
23,1.6,1.2,0.4,,,
24,1.3,0.9,0.4,,,
25,0.89,0.49,0.4,,,
26,1.05,0.65,0.4,,,
27,0.9,0.51,0.39,,,
28,0.65,0.26,0.39,,,
29,2.09,1.69,0.39,,,
30,0.9,0.51,0.39,,,
31,0.37,0,0.37,,,
1,1.03,0.67,0.37,,,
2,1.1,0.73,0.37,,,
3,1.12,0.75,0.36,,,
4,1.15,0.79,0.36,,,
5,2.27,1.89,0.37,,,
6,4.87,4.46,0.41,,,
7,9.73,9.25,0.48,,,
8,5.8,5.28,0.52,,,
9,3.53,3,0.53,,,
10,2.9,2.36,0.54,,,
11,1.6,1.06,0.54,,,
12,2.9,2.35,0.55,,,
13,1.92,1.37,0.55,,,
14,2.17,1.61,0.55,,,
15,2.63,2.07,0.56,,,
16,3.49,2.91,0.58,,,
17,8.22,7.59,0.63,,,
18,25.09,24.26,0.83,,,
19,47.74,46.52,1.22,,,
20,55.05,53.38,1.67,,,
21,69.29,67.07,2.22,,,
22,156.7,153.18,3.52,,,
23,72.6,68.55,4.05,,,
24,48.12,43.76,4.36,,,
25,4100,4060.1,39.9,,,
26,360.9,318.99,41.91,,,
27,450,405.37,44.63,,,
28,528.4,480.45,47.95,,,
29,265.1,216.21,48.89,,,
30,451.8,400.37,51.43,,,
1,225.9,173.98,51.92,,,
2,1116,1055.85,60.15,,,
3,716.7,652.03,64.67,,,
4,290.2,224.85,65.35,,,
5,151.9,87.09,64.81,,,
6,103.4,39.54,63.86,,,
7,128.6,65.44,63.16,,,
8,223.8,160.5,63.3,,,
9,116.9,54.39,62.51,,,
10,84.91,23.44,61.47,,,
11,84.93,24.47,60.46,,,
12,54.88,0,54.88,,,
13,186.5,131.56,54.94,,,
14,223.5,168.19,55.31,,,
15,871.6,810.28,61.32,,,
16,500.4,436.48,63.92,,,
17,262,197.62,64.38,,,
18,163.9,99.93,63.97,,,
19,155.1,91.61,63.49,,,
20,921.5,851.8,69.7,,,
21,1267,1188.26,78.74,,,
22,810.1,726.56,83.54,,,
23,491.5,406.07,85.43,,,
24,901.9,811.06,90.84,,,
25,291.4,200.61,90.79,,,
26,185.8,95.99,89.81,,,
27,197.7,108.73,88.97,,,
28,162.1,74.26,87.84,,,
29,155.3,68.61,86.69,,,
30,118.7,33.45,85.25,,,
31,154.3,70.14,84.16,,,
1,150.3,67.23,83.07,,,
2,129.8,47.97,81.83,,,
3,122.7,42.14,80.56,,,
4,143.7,64.19,79.51,,,
5,99.63,21.52,78.11,,,
6,86.51,9.88,76.63,,,
7,164.1,88.22,75.88,,,
8,168.3,93.12,75.18,,,
9,216.6,141.68,74.92,,,
10,127.4,53.51,73.89,,,
11,138.8,65.81,72.99,,,
12,274.3,201.01,73.29,,,
13,387.2,312.63,74.57,,,
14,446.3,369.97,76.33,,,
15,185,109.24,75.76,,,
16,134,59.24,74.76,,,
17,139.8,65.95,73.85,,,
18,153.5,80.42,73.08,,,
19,298.2,224.61,73.59,,,
20,171,98.03,72.97,,,
21,119.7,47.77,71.93,,,
22,83,12.4,70.6,,,
23,103.3,33.81,69.49,,,
24,117.1,48.58,68.52,,,
25,82.27,14.98,67.29,,,
26,56.72,0,56.72,,,
27,51.05,0,51.05,,,
28,40.32,0,40.32,,,
29,50.36,10.75,39.61,,,
30,77.06,37.91,39.15,,,
31,196.2,156.46,39.74,,,
1,136.9,97.1,39.8,,,
2,371,329.11,41.89,,,
3,659.3,612.87,46.43,,,
4,1064,1009.64,54.36,,,
5,1190,1126.83,63.17,,,
6,532.5,466.5,66,,,
7,350.2,283.04,67.16,,,
8,485.7,416.23,69.47,,,
9,325.5,255.18,70.32,,,
10,337.4,266.15,71.25,,,
11,197.6,126.66,70.94,,,
12,295.5,224.01,71.49,,,
13,196.9,125.74,71.16,,,
14,668.6,593.65,74.95,,,
15,998.8,917.3,81.5,,,
16,487.8,404.38,83.42,,,
17,355.8,271.67,84.13,,,
18,207.9,124.36,83.54,,,
19,941.4,852.05,89.35,,,
20,1728,1626.16,101.84,,,
21,1295,1184.8,110.2,,,
22,650.1,537.39,112.71,,,
23,469,355.42,113.58,,,
24,531.9,416.94,114.96,,,
25,484.5,368.6,115.9,,,
26,548.5,431.13,117.37,,,
27,408.6,291.03,117.57,,,
28,395.3,277.64,117.66,,,
29,395.7,277.95,117.75,,,
30,273.5,156.73,116.77,,,
1,167.7,52.81,114.89,,,
2,344,229.39,114.61,,,
3,171.6,58.77,112.83,,,
4,143.4,32.54,110.86,,,
5,135.8,26.92,108.88,,,
6,328.5,219.87,108.63,,,
7,503.1,393.19,109.91,,,
8,204.1,95.55,108.55,,,
9,148,41.26,106.74,,,
10,293.3,187.05,106.25,,,
11,394,287.35,106.65,,,
12,153.4,48.46,104.94,,,
13,116.5,13.54,102.96,,,
14,95.95,0,95.95,,,
15,86.26,0,86.26,,,
16,76.01,0,76.01,,,
17,66.69,0,66.69,,,
18,61.75,0,61.75,,,
19,58.7,0,58.7,,,
20,55.18,0,55.18,,,
21,51.53,0,51.53,,,
22,48.78,0,48.78,,,
23,44.63,0,44.63,,,
24,41.73,0,41.73,,,
25,39.28,0,39.28,,,
26,39.83,1.32,38.51,,,
27,37.89,0.15,37.74,,,
28,37.48,0.49,36.99,,,
29,35.45,0,35.45,,,
30,33.82,0,33.82,,,
31,31.59,0,31.59,,,
1,34,3.02,30.98,,,
2,31.77,1.39,30.38,,,
3,30.6,0.82,29.78,,,
4,29.83,0.64,29.19,,,
5,29.2,0.59,28.61,,,
6,29.2,1.15,28.05,,,
7,28.8,1.3,27.5,,,
8,27.8,0.85,26.95,,,
9,26.2,0,26.2,,,
10,24.7,0,24.7,,,
11,23.8,0,23.8,,,
12,22.4,0,22.4,,,
13,22.1,0.15,21.95,,,
14,22.4,0.88,21.52,,,
15,21.33,0.24,21.09,,,
16,20.7,0.03,20.67,,,
17,20.7,0.44,20.26,,,
18,20.17,0.31,19.86,,,
19,19,0,19,,,
20,17.9,0,17.9,,,
21,17.8,0.26,17.54,,,
22,17.73,0.53,17.2,,,
23,17.3,0.44,16.86,,,
24,17.1,0.57,16.53,,,
25,16.5,0.3,16.2,,,
26,16.07,0.19,15.88,,,
27,15.5,0,15.5,,,
28,15.2,0.01,15.19,,,
29,15,0.11,14.89,,,
30,14.73,0.14,14.59,,,
1,14.3,0,14.3,,,
2,14.03,0.02,14.01,,,
3,13.4,0,13.4,,,
4,13.2,0.07,13.13,,,
5,13,0.13,12.87,,,
6,12.8,0.18,12.62,,,
7,12.6,0.23,12.37,,,
8,12.6,0.48,12.12,,,
9,12.4,0.52,11.88,,,
10,13,1.34,11.66,,,
11,13.2,1.76,11.44,,,
12,14.3,3.06,11.24,,,
13,14.17,3.13,11.04,,,
14,12.93,2.09,10.84,,,
15,12.4,1.76,10.64,,,
16,11.97,1.53,10.44,,,
17,11.7,1.46,10.24,,,
18,11.2,1.15,10.05,,,
19,11.2,1.34,9.86,,,
20,11.2,1.53,9.67,,,
21,11.2,1.7,9.5,,,
22,11.2,1.88,9.32,,,
23,11.07,1.92,9.15,,,
24,10.4,1.42,8.98,,,
25,10.2,1.39,8.81,,,
26,10.2,1.55,8.65,,,
27,9.93,1.44,8.49,,,
28,9.4,1.07,8.33,,,
29,9.2,1.03,8.17,,,
30,9,0.98,8.02,,,
31,8.8,0.93,7.87,,,
1,8.8,1.08,7.72,,,
2,8.6,1.03,7.57,,,
3,8.8,1.37,7.43,,,
4,8.5,1.2,7.3,,,
5,8.1,0.94,7.16,,,
6,8.1,1.08,7.02,,,
7,7.9,1.01,6.89,,,
8,8.17,1.4,6.77,,,
9,8.6,1.95,6.65,,,
10,10.83,4.28,6.55,,,
11,17.73,11.21,6.52,,,
12,21.5,14.98,6.52,,,
13,16.4,9.92,6.48,,,
14,14.77,8.35,6.42,,,
15,13.43,7.07,6.36,,,
16,10.8,4.53,6.27,,,
17,10.73,4.55,6.18,,,
18,9.2,3.11,6.09,,,
19,7.97,1.98,5.98,,,
20,7.43,1.56,5.88,,,
21,8.47,2.68,5.78,,,
22,8.33,2.64,5.69,,,
23,7.83,2.24,5.6,,,
24,7.43,1.93,5.5,,,
25,7.03,1.63,5.41,,,
26,6.7,1.39,5.31,,,
27,6.6,1.38,5.22,,,
28,6.57,1.44,5.12,,,
29,5.97,0.94,5.03,,,
30,5.67,0.73,4.94,,,
31,5.6,0.76,4.84,,,
1,5.3,0.55,4.75,,,
2,5.1,0.44,4.66,,,
3,5.43,0.86,4.57,,,
4,5.1,0.61,4.49,,,
5,4.4,0,4.4,,,
6,4.4,0.09,4.31,,,
7,4.9,0.67,4.23,,,
8,4.9,0.75,4.15,,,
9,4.7,0.62,4.08,,,
10,4.27,0.27,4,,,
11,3.4,0,3.4,,,
12,3.5,0.17,3.33,,,
13,4.1,0.83,3.27,,,
14,3.9,0.69,3.21,,,
15,3.7,0.54,3.16,,,
16,3.9,0.8,3.1,,,
17,3.7,0.66,3.04,,,
18,2.87,0,2.87,,,
19,3.17,0.35,2.81,,,
20,3.23,0.47,2.76,,,
21,3.2,0.49,2.71,,,
22,3.2,0.54,2.66,,,
23,3.03,0.42,2.61,,,
24,2.93,0.37,2.56,,,
25,3,0.49,2.51,,,
26,3.07,0.6,2.47,,,
27,3.97,1.53,2.43,,,
28,4.53,2.13,2.4,,,
1,3.7,1.33,2.37,,,
2,4.4,2.06,2.34,,,
3,4.17,1.86,2.31,,,
4,3.97,1.69,2.28,,,
5,4.6,2.35,2.25,,,
6,4.4,2.17,2.23,,,
7,4.6,2.4,2.2,,,
8,4.7,2.52,2.18,,,
9,4.7,2.54,2.16,,,
10,4.6,2.46,2.14,,,
11,3.7,1.59,2.11,,,
12,3.23,1.16,2.08,,,
13,3.2,1.15,2.05,,,
14,3.2,1.19,2.01,,,
15,3,1.02,1.98,,,
16,2.8,0.85,1.95,,,
17,2.8,0.88,1.92,,,
18,2.7,0.81,1.89,,,
19,2.6,0.74,1.86,,,
20,2.43,0.61,1.83,,,
21,2.4,0.61,1.79,,,
22,2.3,0.54,1.76,,,
23,2.3,0.57,1.73,,,
24,2.13,0.43,1.7,,,
25,2.1,0.43,1.67,,,
26,2,0.36,1.64,,,
27,2,0.39,1.61,,,
28,1.9,0.32,1.58,,,
29,1.9,0.35,1.55,,,
30,1.8,0.27,1.53,,,
31,1.8,0.3,1.5,,,
1,1.63,0.16,1.47,,,
2,1.5,0.06,1.44,,,
3,1.37,0,1.37,,,
4,1.87,0.52,1.34,,,
5,1.63,0.31,1.32,,,
6,1.43,0.14,1.29,,,
7,1.32,0.05,1.27,,,
8,1.32,0.07,1.24,,,
9,1.48,0.26,1.22,,,
10,1.9,0.7,1.2,,,
11,1.63,0.45,1.18,,,
12,1.53,0.37,1.16,,,
13,1.8,0.65,1.15,,,
14,1.67,0.54,1.13,,,
15,1.43,0.33,1.11,,,
16,1.4,0.31,1.09,,,
17,1.33,0.26,1.07,,,
18,1.3,0.25,1.05,,,
19,1.25,0.22,1.03,,,
20,1.25,0.24,1.01,,,
21,1.2,0.21,0.99,,,
22,1.1,0.13,0.97,,,
23,1.1,0.14,0.96,,,
24,1.05,0.11,0.94,,,
25,0.93,0.01,0.92,,,
26,0.83,0,0.83,,,
27,0.77,0,0.77,,,
28,0.63,0,0.63,,,
29,0.47,0,0.47,,,
30,0.38,0,0.38,,,
1,0.42,0.04,0.37,,,
2,0.5,0.13,0.37,,,
3,0.43,0.07,0.36,,,
4,0.38,0.03,0.35,,,
5,0.35,0,0.35,,,
6,0.42,0.08,0.34,,,
7,0.38,0.04,0.33,,,
8,0.31,0,0.31,,,
9,0.31,0.01,0.3,,,
10,0.3,0,0.3,,,
11,0.28,0,0.28,,,
12,0.26,0,0.26,,,
13,0.3,0.04,0.26,,,
14,0.28,0.03,0.25,,,
15,0.28,0.03,0.25,,,
16,0.25,0.01,0.24,,,
17,0.28,0.04,0.24,,,
18,0.25,0.02,0.23,,,
19,0.23,0,0.23,,,
20,0.2,0,0.2,,,
21,0.2,0,0.2,,,
22,0.19,0,0.19,,,
23,0.15,0,0.15,,,
24,0.15,0,0.15,,,
25,0.13,0,0.13,,,
26,0.11,0,0.11,,,
27,0.1,0,0.1,,,
28,0.1,0,0.1,,,
29,0.08,0,0.08,,,
30,0.05,0,0.05,,,
31,0.05,0,0.05,,,
1,0.38,0.33,0.05,,,
2,0.38,0.33,0.05,,,
3,0.33,0.27,0.05,,,
4,0.33,0.27,0.06,,,
5,0.49,0.43,0.06,,,
6,0.54,0.48,0.06,,,
7,0.6,0.53,0.06,,,
8,0.71,0.64,0.07,,,
9,0.84,0.77,0.07,,,
10,0.76,0.68,0.08,,,
11,1.01,0.93,0.09,,,
12,2.95,2.84,0.11,,,
13,1.18,1.06,0.12,,,
14,1.01,0.89,0.12,,,
15,1.01,0.89,0.13,,,
16,1.1,0.96,0.13,,,
17,0.93,0.79,0.14,,,
18,0.84,0.7,0.14,,,
19,0.93,0.78,0.14,,,
20,0.93,0.78,0.15,,,
21,1.75,1.59,0.16,,,
22,2.2,2.03,0.17,,,
23,1.26,1.08,0.18,,,
24,1.26,1.08,0.19,,,
25,1.6,1.41,0.19,,,
26,2.2,1.99,0.21,,,
27,2.05,1.83,0.22,,,
28,2.2,1.97,0.23,,,
29,1.8,1.56,0.24,,,
30,1.9,1.65,0.25,,,
1,5.53,5.24,0.29,,,
2,8.4,8.04,0.36,,,
3,5.53,5.13,0.4,,,
4,5.26,4.83,0.43,,,
5,2.65,2.21,0.44,,,
6,1.9,1.46,0.44,,,
7,2.35,1.9,0.45,,,
8,14.5,13.93,0.57,,,
9,16.5,15.81,0.69,,,
10,22.2,21.33,0.87,,,
11,15.5,14.52,0.98,,,
12,8.92,7.89,1.03,,,
13,7.36,6.3,1.06,,,
14,8.92,7.81,1.11,,,
15,180,177.36,2.64,,,
16,279,274.01,4.99,,,
17,220.5,213.73,6.77,,,
18,943.5,928.71,14.79,,,
19,423,404.95,18.05,,,
20,435,413.68,21.32,,,
21,393,368.87,24.13,,,
22,190,164.91,25.09,,,
23,126,100.53,25.47,,,
24,1185,1149.94,35.06,,,
25,453,415,38,,,
26,182.5,144,38.5,,,
27,122,83.54,38.46,,,
28,81,42.93,38.07,,,
29,69,31.41,37.59,,,
30,85.5,48.24,37.26,,,
31,144,106.55,37.45,,,
1,84,46.89,37.11,,,
2,71.1,34.43,36.67,,,
3,94,57.56,36.44,,,
4,134,97.43,36.57,,,
5,146,109.2,36.8,,,
6,146,108.98,37.02,,,
7,180,142.47,37.53,,,
8,150,112.24,37.76,,,
9,152,113.99,38.01,,,
10,114,76.09,37.91,,,
11,154,115.83,38.17,,,
12,104,66.01,37.99,,,
13,71.1,33.58,37.52,,,
14,447,406.66,40.34,,,
15,399,356.34,42.66,,,
16,877.5,828.42,49.08,,,
17,282,231.87,50.13,,,
18,417,364.67,52.33,,,
19,408,353.61,54.39,,,
20,219,164.26,54.74,,,
21,164,109.39,54.61,,,
22,131,76.81,54.19,,,
