           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.169
10,0.2,0.07,0.13,,
11,0.3,0.17,0.13,,
12,0.3,0.17,0.13,,
13,0.3,0.17,0.13,,
14,0.2,0.07,0.13,,
15,0.2,0.07,0.13,,
16,0.1,0,0.1,,
17,0.1,0,0.1,,
18,0.1,0,0.1,,
19,0.1,0.01,0.09,,
20,0.3,0.21,0.09,,
21,0.1,0.01,0.09,,
22,0.1,0.01,0.09,,
23,0.2,0.11,0.09,,
24,0.1,0.01,0.09,,
25,0.1,0.01,0.09,,
26,0.1,0.02,0.08,,
27,0.1,0.02,0.08,,
28,0.1,0.02,0.08,,
29,0.1,0.02,0.08,,
30,0.1,0.02,0.08,,
31,0.1,0.02,0.08,,
1,0,0,0,,
2,0,0,0,,
3,0,0,0,,
4,0,0,0,,
5,0,0,0,,
6,0,0,0,,
7,0,0,0,,
8,0,0,0,,
9,0,0,0,,
10,0,0,0,,
11,0,0,0,,
12,0,0,0,,
13,0,0,0,,
14,0,0,0,,
15,0,0,0,,
16,6.5,6.46,0.04,,
17,5.4,5.32,0.08,,
18,2.3,2.21,0.09,,
19,2.2,2.1,0.1,,
20,24.5,24.24,0.26,,
21,17.9,17.53,0.37,,
22,536,532.09,3.91,,
23,78,73.67,4.33,,
24,92,87.18,4.82,,
25,5.6,0.87,4.73,,
26,2700,2677.51,22.49,,
27,0,0,0,,
28,0,0,0,,
29,21.8,21.66,0.14,,
30,20.7,20.42,0.28,,
1,19.5,19.1,0.4,,
2,11.7,11.23,0.47,,
3,11.7,11.17,0.53,,
4,8.6,8.03,0.57,,
5,8.5,7.88,0.62,,
6,7.2,6.55,0.65,,
7,6.8,6.13,0.67,,
8,12,11.26,0.74,,
9,25,24.12,0.88,,
10,54.6,53.38,1.22,,
11,48.5,46.99,1.51,,
12,29.5,27.84,1.66,,
13,26.7,24.9,1.8,,
14,22.5,20.6,1.9,,
15,79,76.63,2.37,,
16,25.1,22.62,2.48,,
17,25.7,23.12,2.58,,
18,15.3,12.69,2.61,,
19,13.2,10.57,2.63,,
20,15.9,13.23,2.67,,
21,12.7,10.02,2.68,,
22,18,15.27,2.73,,
23,11.2,8.47,2.73,,
24,11.5,8.77,2.73,,
25,23.1,20.29,2.81,,
26,22.9,20.01,2.89,,
27,74.2,70.89,3.31,,
28,69.5,65.82,3.68,,
29,458,451.39,6.61,,
30,235,227,8,,
31,32.1,24.1,8,,
1,68.3,60.06,8.24,,
2,58.9,50.49,8.41,,
3,62,53.4,8.6,,
4,49.2,40.51,8.69,,
5,64,55.11,8.89,,
6,71.5,62.37,9.13,,
7,76.7,67.31,9.39,,
8,65,55.43,9.57,,
9,62,52.27,9.73,,
10,1808,1786.55,21.45,,
11,390,366.54,23.46,,
12,262,237.42,24.58,,
13,212,186.67,25.33,,
14,136,110.44,25.56,,
15,120,94.32,25.68,,
16,108.6,82.89,25.71,,
17,98,72.32,25.68,,
18,87.4,61.82,25.58,,
19,70,44.63,25.37,,
20,76.5,51.3,25.2,,
21,65,40.04,24.96,,
22,56.3,31.62,24.68,,
23,48.5,24.16,24.34,,
24,45.7,21.7,24,,
25,42.1,18.46,23.64,,
26,42.5,19.2,23.3,,
27,40.3,17.35,22.95,,
28,37.8,15.21,22.59,,
29,34.2,11.98,22.22,,
30,72.5,50.39,22.11,,
31,38.6,16.82,21.78,,
1,32.5,11.08,21.42,,
2,30,8.95,21.05,,
3,30,9.31,20.69,,
4,31.4,11.05,20.35,,
5,27.5,7.51,19.99,,
6,24.9,5.27,19.63,,
7,26,6.72,19.28,,
8,23.9,4.97,18.93,,
9,20,1.44,18.56,,
10,18.9,0.71,18.19,,
11,17.3,0,17.3,,
12,16.8,0,16.8,,
13,29.1,12.55,16.55,,
14,20.9,4.65,16.25,,
15,18.8,2.86,15.94,,
16,17,1.37,15.63,,
17,17.4,2.07,15.33,,
18,51,35.74,15.26,,
19,24.5,9.48,15.02,,
20,51.8,36.83,14.97,,
21,26.9,12.15,14.75,,
22,20.9,6.4,14.5,,
23,15,0.79,14.21,,
24,15.7,1.76,13.94,,
25,34.04,20.24,13.8,,
26,32.4,18.75,13.65,,
27,17.9,4.5,13.4,,
28,17.6,4.44,13.16,,
29,17.2,4.27,12.93,,
30,13.8,1.12,12.68,,
1,16.6,4.15,12.45,,
2,28,15.69,12.31,,
3,14.5,2.42,12.08,,
4,18.8,6.92,11.88,,
5,16.2,4.53,11.67,,
6,9.8,0,9.8,,
7,11,1.39,9.61,,
8,8.6,0,8.6,,
9,8.3,0,8.3,,
10,7.6,0,7.6,,
11,8,0.55,7.45,,
12,8.5,1.19,7.31,,
13,9.4,2.22,7.18,,
14,30,22.81,7.19,,
15,12,4.92,7.08,,
16,8.2,1.26,6.94,,
17,7.2,0.39,6.81,,
18,7,0.33,6.67,,
19,7.2,0.66,6.54,,
20,7,0.58,6.42,,
21,7,0.71,6.29,,
22,6.4,0.23,6.17,,
23,6.9,0.85,6.05,,
24,7,1.06,5.94,,
25,7,1.17,5.83,,
26,7.5,1.78,5.72,,
27,4.6,0,4.6,,
28,6.8,2.28,4.52,,
29,6,1.56,4.44,,
30,5.5,1.14,4.36,,
31,5.2,0.92,4.28,,
1,4.7,0.5,4.2,,
2,5,0.88,4.12,,
3,4.6,0.56,4.04,,
4,4.5,0.54,3.96,,
5,3.8,0,3.8,,
6,4.4,0.67,3.73,,
7,3.5,0,3.5,,
8,4,0.57,3.43,,
9,3.9,0.53,3.37,,
10,3.1,0,3.1,,
11,4,0.96,3.04,,
12,2.8,0,2.8,,
13,3.6,0.85,2.75,,
14,2.9,0.2,2.7,,
15,3.2,0.55,2.65,,
16,3.1,0.5,2.6,,
17,4,1.45,2.55,,
18,11,8.44,2.56,,
19,6.2,3.67,2.53,,
20,4.5,2,2.5,,
21,3.6,1.15,2.45,,
22,3.5,1.09,2.41,,
23,3.5,1.13,2.37,,
24,3.8,1.47,2.33,,
25,7.5,5.18,2.32,,
26,4.5,2.21,2.29,,
27,2.9,0.65,2.25,,
28,3.1,0.89,2.21,,
29,51.7,49.21,2.49,,
30,27.8,25.19,2.61,,
1,17.6,14.94,2.66,,
2,9.2,6.55,2.65,,
3,7.5,4.87,2.63,,
4,6.6,4,2.6,,
5,6.3,3.73,2.57,,
6,5.9,3.35,2.55,,
7,5.4,2.89,2.51,,
8,5.3,2.82,2.48,,
9,4.8,2.35,2.45,,
10,4.3,1.89,2.41,,
11,3.6,1.23,2.37,,
12,4,1.66,2.34,,
13,3.9,1.6,2.3,,
14,2.7,0.44,2.26,,
15,3,0.78,2.22,,
16,3.4,1.22,2.18,,
17,2.6,0.46,2.14,,
18,3,0.9,2.1,,
19,2.8,0.73,2.07,,
20,2.8,0.77,2.03,,
21,2.6,0.61,1.99,,
22,3.1,1.14,1.96,,
23,3.5,1.57,1.93,,
24,3.2,1.3,1.9,,
25,3,1.13,1.87,,
26,3.3,1.46,1.84,,
27,3.2,1.38,1.82,,
28,3.3,1.51,1.79,,
29,3.3,1.54,1.76,,
30,2.8,1.06,1.74,,
31,3,1.29,1.71,,
